# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 31092 3669
p 2 0 513 407 819 637
p 2 0 381 539 619 511
p 2 0 271 649 454 402
p 2 0 255 665 448 383
p 2 0 221 699 435 357
p 2 0 227 693 436 363
p 2 0 229 691 446 363
p 2 0 183 737 388 319
p 2 0 155 765 346 294
p 2 0 121 799 290 263
p 2 0 86 834 262 233
p 2 0 113 807 304 257
p 2 0 102 818 277 245
p 2 0 128 792 319 269
p 2 0 106 814 298 250
p 2 0 117 803 322 263
p 2 0 103 817 293 251
p 2 0 65 855 236 215
p 2 0 91 829 273 238
p 2 0 80 840 261 229
p 2 0 121 799 300 259
p 2 0 141 779 333 283
p 2 0 97 823 284 244
p 2 0 113 807 318 261
p 2 0 101 819 280 246
p 2 0 75 845 253 225
p 2 0 57 863 223 207
p 2 0 90 830 279 237
p 2 0 98 822 279 244
p 2 0 121 799 299 263
p 2 0 101 819 277 244
p 2 0 67 853 250 218
p 2 0 71 849 240 219
p 2 0 73 847 233 220
p 2 0 52 868 217 202
p 2 0 76 844 253 221
p 2 0 60 860 231 207
p 2 0 96 824 273 240
p 2 0 71 849 239 219
p 2 0 65 855 235 212
p 2 0 89 831 257 235
p 2 0 72 848 232 218
p 2 0 64 856 233 210
p 2 0 56 864 229 208
p 2 0 72 848 246 222
p 2 0 98 822 269 240
p 2 0 88 832 252 229
p 2 0 116 804 282 253
p 2 0 69 851 236 219
p 2 0 69 851 231 217
p 2 0 86 834 254 230
p 2 0 75 845 247 223
p 2 0 66 854 247 216
p 2 0 47 873 212 197
p 2 0 40 880 208 191
p 2 0 33 887 193 186
p 2 0 49 871 211 199
p 2 0 37 883 203 189
p 2 0 44 876 207 195
p 2 0 33 887 197 186
p 2 0 57 863 221 207
i 2 920 0 0 51035 4204
p 2 0 352 568 615 492
p 2 0 285 635 478 422
p 2 8 425 487 22169 941
p 2 0 383 537 1223 539
p 2 0 253 667 622 398
p 2 8 547 365 27790 1235
p 2 0 438 482 1486 601
p 2 0 317 603 927 467
p 2 3 444 473 16012 906
p 2 0 337 583 1078 494
p 2 0 249 671 680 395
p 2 2 439 479 16066 891
p 2 0 350 570 1157 515
p 2 0 356 564 1164 518
p 2 0 282 638 887 425
p 2 0 200 720 587 344
p 2 0 135 785 401 280
p 2 0 141 779 444 289
p 2 0 205 715 583 349
p 2 0 183 737 517 326
p 2 0 161 759 612 308
p 2 0 180 740 551 326
p 2 0 201 719 528 340
p 2 0 148 772 576 289
p 2 0 90 830 303 237
p 2 0 102 818 344 250
p 2 0 153 767 669 298
p 2 0 139 781 425 287
p 2 0 111 809 374 257
p 2 0 159 761 652 307
p 2 0 134 786 419 278
p 2 0 104 816 363 252
p 2 0 124 796 531 268
p 2 0 208 712 576 350
p 2 0 191 729 523 328
p 2 0 174 746 661 313
p 2 0 116 804 361 261
p 2 0 65 855 260 214
p 2 0 90 830 542 239
p 2 0 114 806 352 261
p 2 0 102 818 340 251
p 2 0 138 782 561 287
p 2 0 116 804 373 263
p 2 0 109 811 356 254
p 2 0 118 802 512 261
p 2 0 83 837 313 232
p 2 0 108 812 360 255
p 2 0 70 850 498 222
p 2 0 59 861 246 209
p 2 0 63 857 259 212
p 2 0 91 829 461 242
p 2 0 79 841 288 230
p 2 0 69 851 274 219
p 2 0 87 833 482 237
p 2 0 79 841 282 226
p 2 0 95 825 312 242
p 2 0 110 810 355 260
p 2 0 105 815 333 252
p 2 0 88 832 315 237
p 2 0 50 870 244 204
p 2 0 72 848 256 216
p 2 0 86 834 299 235
p 2 0 90 830 436 238
p 2 0 104 816 327 254
p 2 0 70 850 266 217
p 2 0 83 837 460 233
p 2 0 64 856 269 215
p 2 0 87 833 309 236
p 2 0 80 840 279 230
p 2 0 67 853 266 220
p 2 0 94 826 313 242
p 2 0 83 837 497 234
p 2 0 59 861 259 210
p 2 0 74 846 268 223
p 2 0 78 842 524 230
p 2 0 88 832 306 235
p 2 0 62 858 255 215
p 2 0 61 859 495 213
p 2 0 56 864 251 208
p 2 0 87 833 291 233
p 2 0 60 860 490 215
p 2 0 105 815 339 252
p 2 0 80 840 291 230
p 2 0 51 869 430 204
p 2 0 69 851 281 222
p 2 0 66 854 266 215
p 2 0 66 854 483 220
p 2 0 73 847 278 223
p 2 0 82 838 258 225
p 2 0 44 876 478 197
p 2 0 76 844 271 222
p 2 0 60 860 242 210
p 2 0 61 859 471 215
p 2 0 55 865 249 206
p 2 0 32 888 207 185
p 2 0 68 852 479 222
p 2 0 62 858 260 213
p 2 0 49 871 229 202
p 2 0 41 879 461 195
p 2 0 40 880 221 193
p 2 0 36 884 206 188
p 2 0 50 870 465 204
p 2 0 54 866 228 203
p 2 0 85 835 276 230
p 2 0 57 863 421 208
p 2 0 60 860 230 205
p 2 0 43 877 207 193
p 2 0 61 859 446 215
p 2 0 62 858 245 210
p 2 0 35 885 212 189
p 2 0 46 874 409 200
p 2 0 36 884 204 185
p 2 0 45 875 216 195
p 2 0 33 887 394 189
p 2 0 45 875 219 196
p 2 0 51 869 222 201
p 2 0 45 875 225 199
p 2 0 32 888 206 187
p 2 0 36 884 203 190
p 2 0 32 888 196 185
p 2 0 18 902 180 172
p 2 0 35 885 197 187
p 2 0 30 890 191 182
p 2 0 39 881 204 191
i 2 920 0 0 21668 3465
p 2 0 495 425 707 584
p 2 0 449 471 576 529
p 2 4 277 639 2141 451
p 2 0 273 647 477 398
p 2 0 293 627 535 422
p 2 21 200 699 4807 540
p 2 0 228 692 509 361
p 2 0 203 717 420 338
p 2 14 287 619 7115 675
p 2 0 197 723 544 354
p 2 0 173 747 403 311
p 2 0 281 639 5888 584
p 2 0 201 719 550 348
p 2 0 127 793 336 273
p 2 1 240 679 5099 513
p 2 0 149 771 499 304
p 2 0 138 782 359 282
p 2 0 247 673 5370 484
p 2 0 180 740 484 319
p 2 0 129 791 330 273
p 2 0 124 796 320 266
p 2 0 89 831 267 233
p 2 0 104 816 277 246
p 2 5 447 468 12722 949
p 2 0 298 622 904 444
p 2 21 412 487 11952 1000
p 2 0 317 603 879 464
p 2 2 462 456 10890 921
p 2 0 337 583 972 488
p 2 0 433 487 8685 784
p 2 0 319 601 907 468
p 2 0 434 486 7555 734
p 2 0 285 635 852 428
p 2 0 386 534 7895 694
p 2 0 269 651 798 415
i 2 920 0 0 44912 4134
p 2 0 909 11 7637 1095
p 2 0 910 10 9600 1104
p 2 9 901 10 17331 1404
p 2 0 904 16 9617 1161
p 2 0 906 14 9833 1172
p 2 3 895 22 17145 1360
p 2 0 911 9 9619 1184
p 2 0 901 19 8953 1138
p 2 3 904 13 17799 1425
p 2 0 909 11 8828 1163
p 2 0 906 14 9304 1158
p 2 2 903 15 16021 1362
p 2 0 904 16 9109 1171
p 2 2 900 18 8810 1167
p 2 2 904 14 16236 1377
p 2 0 905 15 8725 1190
p 2 0 912 8 9426 1198
