# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 42896 4056
p 2 0 414 506 803 562
p 2 0 238 682 462 381
p 2 0 257 663 551 395
p 2 0 232 688 560 378
p 2 0 286 634 651 427
p 2 0 159 761 406 303
p 2 0 103 817 299 252
p 2 0 122 798 352 266
p 2 0 134 786 377 280
p 2 0 118 802 354 264
p 2 0 167 753 427 309
p 2 0 137 783 371 281
p 2 0 104 816 325 252
p 2 0 71 849 263 220
p 2 0 71 849 260 221
p 2 0 113 807 333 256
p 2 0 81 839 299 231
p 2 0 90 830 300 237
p 2 0 109 811 345 257
p 2 0 104 816 331 252
p 2 0 77 843 282 227
p 2 0 44 876 226 198
p 2 0 65 855 260 214
p 2 0 98 822 323 247
p 2 0 84 836 300 235
p 2 0 97 823 308 245
p 2 0 89 831 310 236
p 2 0 95 825 313 244
p 2 0 76 844 269 226
p 2 0 52 868 234 204
p 2 0 56 864 245 208
p 2 0 60 860 260 210
p 2 0 74 846 278 222
p 2 0 98 822 325 246
p 2 0 80 840 278 229
p 2 0 69 851 277 221
p 2 0 75 845 260 223
p 2 0 38 882 210 191
p 2 0 46 874 224 199
p 2 0 50 870 245 202
p 2 0 76 844 280 226
p 2 0 81 839 290 232
p 2 0 67 853 269 218
p 2 0 58 862 255 210
p 2 0 74 846 278 223
p 2 0 113 807 343 257
p 2 0 53 867 242 206
p 2 0 104 816 323 251
p 2 0 67 853 256 219
p 2 0 47 873 222 199
p 2 0 57 863 237 204
p 2 0 78 842 282 226
p 2 0 66 854 269 220
p 2 0 80 840 281 230
p 2 0 66 854 255 214
p 2 0 50 870 227 202
p 2 0 52 868 229 202
p 2 0 37 883 209 189
p 2 0 34 886 205 186
p 2 0 49 871 225 199
p 2 0 51 869 227 201
p 2 0 70 850 265 220
p 2 0 31 889 194 182
p 2 0 27 893 195 180
p 2 0 28 892 198 183
p 2 0 18 902 186 172
p 2 0 36 884 209 190
p 2 0 24 896 196 180
p 2 0 47 873 225 198
p 2 0 42 878 226 196
i 2 920 0 0 33864 3704
p 2 0 397 523 658 537
p 2 0 363 557 555 492
p 2 0 230 690 407 371
p 2 0 188 732 366 328
p 2 0 167 753 378 309
p 2 0 136 784 327 278
p 2 0 192 728 390 328
p 2 0 135 785 325 278
p 2 0 155 765 392 296
p 2 0 147 773 364 293
p 2 0 130 790 320 270
p 2 0 117 803 347 261
p 2 0 98 822 274 244
p 2 0 75 845 245 225
p 2 0 77 843 278 225
p 2 0 84 836 273 231
p 2 0 114 806 310 256
p 2 0 102 818 323 249
p 2 0 106 814 295 253
p 2 0 93 827 283 241
p 2 0 52 868 279 204
p 2 0 78 842 265 224
p 2 0 87 833 287 237
p 2 0 68 852 278 217
p 2 0 116 804 317 259
p 2 0 84 836 273 232
p 2 0 68 852 277 218
p 2 0 68 852 270 223
p 2 0 77 843 258 225
p 2 0 80 840 263 228
p 2 0 110 810 320 254
p 2 0 95 825 300 247
p 2 0 75 845 292 226
p 2 0 45 875 214 198
p 2 0 49 871 222 202
p 2 0 56 864 279 206
p 2 0 60 860 252 214
p 2 0 75 845 250 222
p 2 0 94 826 315 243
p 2 0 71 849 246 218
p 2 0 82 838 267 231
p 2 0 111 809 337 258
p 2 0 89 831 278 235
p 2 0 71 849 260 220
p 2 0 65 855 290 216
p 2 0 34 886 194 184
p 2 0 49 871 215 199
p 2 0 61 859 283 212
p 2 0 62 858 242 212
p 2 0 75 845 259 223
p 2 0 61 859 266 210
p 2 0 42 878 218 196
p 2 0 73 847 256 222
p 2 0 42 878 241 194
p 2 0 34 886 207 189
p 2 0 65 855 244 215
p 2 0 56 864 229 206
p 2 0 62 858 229 211
p 2 0 45 875 211 195
p 2 0 63 857 263 212
p 2 0 41 879 215 194
p 2 0 37 883 205 190
p 2 0 56 864 246 203
p 2 0 54 866 231 204
p 2 0 53 867 225 204
p 2 0 62 858 238 213
p 2 0 45 875 210 197
p 2 0 39 881 207 192
p 2 0 27 893 190 180
p 2 0 53 867 224 204
p 2 0 51 869 220 203
p 2 0 36 884 200 190
p 2 0 53 867 229 206
p 2 0 38 882 208 190
p 2 0 37 883 198 191
p 2 0 43 877 213 195
p 2 0 43 877 212 195
p 2 0 50 870 221 201
p 2 0 45 875 210 195
p 2 0 46 874 203 197
p 2 0 21 899 181 175
p 2 0 27 893 186 180
p 2 0 42 878 205 195
i 2 920 0 0 34703 3645
p 2 0 359 561 626 491
p 2 0 290 630 504 421
p 2 0 235 685 416 370
p 2 0 206 714 401 334
p 2 0 230 690 460 358
p 2 0 199 721 440 329
p 2 0 181 739 410 317
p 2 0 182 738 405 314
p 2 0 150 770 339 285
p 2 0 79 841 252 225
p 2 0 124 796 306 258
p 2 0 130 790 348 269
p 2 0 137 783 350 276
p 2 0 116 804 351 263
p 2 0 111 809 334 256
p 2 0 113 807 333 257
p 2 0 105 815 311 249
p 2 0 80 840 252 222
p 2 0 92 828 272 233
p 2 0 106 814 327 249
p 2 0 125 795 332 265
p 2 0 119 801 349 263
p 2 0 143 777 337 275
p 2 0 116 804 327 257
p 2 0 111 809 293 249
p 2 0 95 825 260 232
p 2 0 59 861 246 210
p 2 0 82 838 276 229
p 2 0 91 829 288 236
p 2 0 124 796 321 261
p 2 0 106 814 311 248
p 2 0 98 822 293 241
p 2 0 69 851 256 218
p 2 0 89 831 287 234
p 2 0 115 805 308 252
p 2 0 100 820 274 239
p 2 0 95 825 315 243
p 2 0 69 851 251 217
p 2 0 90 830 272 232
p 2 0 79 841 275 228
p 2 0 75 845 273 223
p 2 0 66 854 252 215
p 2 0 124 796 319 264
p 2 0 66 854 262 217
p 2 0 90 830 278 234
p 2 0 37 883 213 190
p 2 0 78 842 255 224
p 2 0 71 849 256 218
