# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 9334 2947
p 2 0 779 141 984 858
p 2 0 695 225 831 778
p 2 0 449 471 590 560
p 2 0 491 429 606 579
p 2 0 409 511 539 505
p 2 0 413 507 527 508
p 2 0 360 560 486 463
p 2 0 334 586 460 436
p 2 0 280 640 406 393
p 2 0 212 708 368 343
p 2 0 223 697 352 339
p 2 0 197 723 333 320
p 2 0 225 695 354 341
p 2 0 180 740 313 302
p 2 0 190 730 325 316
p 2 0 208 712 353 336
p 2 0 117 803 268 257
p 2 0 177 743 313 301
p 2 0 184 736 313 303
p 2 0 169 751 321 303
p 2 0 189 731 926 351
p 2 0 167 753 339 300
p 2 0 173 747 319 297
p 2 30 286 604 4384 739
p 2 0 306 614 566 439
p 2 0 230 690 383 352
p 2 136 394 390 9094 1416
p 2 0 433 487 776 575
p 2 0 320 600 511 443
i 2 920 0 0 12810 3113
p 2 0 518 402 723 626
p 2 0 555 365 711 643
p 2 83 758 79 12033 1660
p 2 0 574 346 1057 751
p 2 0 382 538 601 492
p 2 1 811 108 6935 1222
p 2 0 610 310 1093 707
p 2 0 393 527 633 501
p 2 0 754 166 5342 1057
p 2 0 505 415 984 627
p 2 0 412 508 709 513
p 2 0 717 203 4500 935
p 2 0 439 481 873 553
p 2 0 276 644 508 396
p 2 0 724 196 4664 978
p 2 0 405 515 872 535
p 2 0 265 655 538 386
p 2 0 249 671 464 365
p 2 0 136 784 322 274
p 2 0 107 813 275 246
p 2 0 128 792 307 261
p 2 0 85 835 274 235
i 2 920 0 0 35736 3596
p 2 0 444 476 683 570
p 2 0 380 540 561 502
p 2 2 347 571 7993 638
p 2 0 317 603 738 450
p 2 0 310 610 542 436
p 2 1 318 601 7674 587
p 2 0 244 676 673 390
p 2 0 229 691 481 361
p 2 1 329 590 8029 593
p 2 0 210 710 642 360
p 2 0 132 788 370 281
p 2 4 212 704 8397 516
p 2 0 231 689 695 380
p 2 0 162 758 403 308
p 2 0 145 775 413 289
p 2 0 217 703 509 350
p 2 0 208 712 485 342
p 2 0 218 702 5163 432
p 2 0 201 719 583 343
p 2 0 185 735 491 326
p 2 1 250 669 6206 498
p 2 0 202 718 649 348
p 2 0 170 750 474 314
p 2 1 226 693 5688 449
p 2 0 153 767 528 302
p 2 0 123 797 368 267
p 2 0 224 696 5428 466
p 2 0 182 738 547 328
p 2 0 173 747 394 302
p 2 0 209 711 5693 455
p 2 0 169 751 558 320
p 2 0 158 762 395 293
p 2 0 114 806 383 259
p 2 0 164 756 397 299
p 2 0 85 835 295 236
p 2 1 87 832 317 241
p 2 0 125 795 352 272
p 2 0 95 825 303 242
p 2 0 81 839 343 230
p 2 0 112 808 304 255
p 2 0 94 826 285 236
p 2 0 69 851 293 219
p 2 0 173 747 382 300
p 2 0 118 802 308 258
p 2 0 91 829 343 238
p 2 0 106 814 305 250
p 2 0 102 818 299 248
p 2 1 196 723 4899 418
p 2 0 151 769 468 295
p 2 0 113 807 334 259
p 2 1 204 715 6066 460
p 2 0 204 716 567 343
p 2 0 136 784 371 278
p 2 1 213 706 5622 438
p 2 0 129 791 485 281
p 2 0 94 826 325 243
p 2 0 215 705 5442 447
p 2 0 135 785 482 285
p 2 0 92 828 304 242
p 2 1 183 736 5671 441
p 2 0 158 762 496 301
p 2 0 102 818 331 251
p 2 0 87 833 311 233
p 2 0 91 829 307 238
p 2 0 135 785 330 269
p 2 0 100 820 372 247
p 2 0 73 847 269 222
p 2 0 88 832 266 232
p 2 0 66 854 245 215
p 2 0 58 862 232 209
p 2 0 63 857 229 209
p 2 0 67 853 239 214
p 2 0 88 832 274 235
p 2 0 81 839 260 226
p 2 0 52 868 272 205
p 2 0 45 875 220 197
p 2 0 81 839 252 226
p 2 0 192 728 4873 400
p 2 0 117 803 416 271
p 2 0 131 789 351 273
p 2 1 209 710 6024 453
p 2 0 117 803 464 273
p 2 0 130 790 346 271
p 2 0 195 725 5477 409
p 2 0 112 808 452 265
p 2 0 92 828 291 238
p 2 0 217 703 5231 434
p 2 0 145 775 451 284
p 2 0 84 836 279 231
p 2 1 156 763 5503 413
p 2 0 134 786 486 289
p 2 0 77 843 287 230
p 2 0 67 853 239 211
p 2 0 77 843 252 225
p 2 0 54 866 226 205
i 2 920 0 0 37017 3816
p 2 0 432 488 729 563
p 2 0 340 580 542 468
p 2 9 475 436 17240 992
p 2 0 355 565 986 509
p 2 0 251 669 560 390
p 2 1 412 507 14530 822
p 2 0 304 616 962 466
p 2 0 202 718 522 349
p 2 0 391 529 12396 712
p 2 0 263 657 994 425
p 2 0 195 725 503 337
p 2 1 331 588 12326 669
p 2 0 291 629 941 440
p 2 0 283 637 913 436
p 2 0 232 688 820 385
p 2 0 166 754 490 312
p 2 0 117 803 330 258
p 2 0 140 780 577 291
p 2 0 190 730 485 328
p 2 0 136 784 425 284
p 2 0 149 771 662 290
p 2 0 148 772 485 296
p 2 0 119 801 397 271
p 2 0 91 829 515 243
p 2 0 91 829 333 242
p 2 0 139 781 397 280
p 2 0 104 816 510 261
p 2 0 145 775 405 288
p 2 0 140 780 365 283
p 2 0 123 797 611 268
p 2 0 73 847 281 223
p 2 0 76 844 260 224
p 2 0 95 825 308 242
p 2 0 85 835 294 234
p 2 0 98 822 318 242
p 2 0 101 819 536 259
p 2 0 109 811 343 253
p 2 0 62 858 251 212
p 2 0 67 853 513 220
p 2 0 110 810 336 256
p 2 0 67 853 274 218
p 2 0 88 832 483 237
p 2 0 114 806 349 264
p 2 0 84 836 287 233
p 2 0 74 846 427 232
p 2 0 76 844 280 226
p 2 0 92 828 298 240
p 2 0 84 836 556 236
p 2 0 90 830 305 236
p 2 0 84 836 294 230
p 2 0 76 844 469 229
p 2 0 63 857 269 216
p 2 0 78 842 286 229
p 2 0 79 841 487 231
p 2 0 77 843 291 226
p 2 0 60 860 264 212
p 2 0 73 847 452 230
p 2 0 47 873 234 200
p 2 0 38 882 214 190
p 2 0 68 852 471 221
p 2 0 57 863 258 210
p 2 0 82 838 268 228
p 2 0 54 866 460 209
p 2 0 71 849 262 219
p 2 0 48 872 228 200
p 2 0 42 878 214 193
p 2 0 45 875 221 196
p 2 0 56 864 249 207
p 2 0 59 861 441 211
p 2 0 74 846 260 221
p 2 0 80 840 268 228
p 2 0 43 877 376 200
p 2 0 67 853 262 216
p 2 0 95 825 277 239
p 2 0 65 855 246 213
p 2 0 57 863 227 205
p 2 0 61 859 235 208
p 2 1 416 503 9111 813
p 2 0 308 612 857 457
p 2 0 170 750 440 311
p 2 0 381 539 7427 684
p 2 0 300 620 835 439
p 2 0 169 751 454 313
p 2 0 413 507 7589 720
p 2 0 300 620 852 450
p 2 0 245 675 636 386
p 2 0 187 733 483 325
p 2 0 142 778 397 282
p 2 0 123 797 370 268
p 2 0 118 802 355 265
p 2 0 113 807 378 262
p 2 0 104 816 320 251
p 2 0 108 812 308 247
p 2 0 74 846 282 222
p 2 0 92 828 280 235
p 2 0 76 844 262 222
p 2 0 59 861 241 208
p 2 0 70 850 235 213
p 2 0 82 838 241 224
p 2 0 54 866 232 206
i 2 920 0 0 40704 3887
p 2 1 510 409 6579 776
p 2 0 399 521 743 533
p 2 0 273 647 509 408
p 2 3 345 572 6744 590
p 2 0 279 641 739 427
p 2 0 208 712 467 348
p 2 2 281 637 6920 529
p 2 0 174 746 548 326
p 2 0 167 753 402 306
p 2 1 245 674 6322 491
p 2 0 210 710 573 357
p 2 0 231 689 537 363
p 2 4 169 747 3753 378
p 2 0 159 761 464 302
p 2 0 124 796 348 267
p 2 6 169 745 3365 380
p 2 0 159 761 466 304
p 2 0 136 784 359 281
p 2 0 190 730 2611 368
p 2 0 151 769 440 291
p 2 0 160 760 365 292
p 2 0 177 743 2084 336
p 2 0 136 784 428 281
p 2 0 124 796 353 268
p 2 0 118 802 2898 301
p 2 0 118 802 368 262
p 2 0 94 826 285 238
p 2 0 146 774 3042 328
p 2 0 120 800 397 271
p 2 0 113 807 327 258
p 2 2 135 783 3218 335
p 2 0 134 786 431 282
p 2 0 118 802 310 260
p 2 1 108 811 3082 304
p 2 0 116 804 393 264
p 2 0 114 806 343 260
p 2 0 123 797 2400 301
p 2 0 128 792 436 279
p 2 0 102 818 326 250
p 2 0 88 832 2406 266
p 2 0 116 804 404 266
p 2 0 91 829 311 240
p 2 0 156 764 3335 337
p 2 0 95 825 349 248
p 2 0 75 845 254 223
p 2 0 138 782 3497 322
p 2 0 94 826 367 247
p 2 0 75 845 276 225
p 2 2 155 763 7225 445
p 2 0 105 815 478 265
p 2 0 94 826 306 244
p 2 0 137 783 5521 369
p 2 0 134 786 508 286
p 2 0 112 808 326 258
p 2 0 195 725 5292 416
p 2 0 147 773 499 296
p 2 0 103 817 321 249
p 2 7 193 720 6588 484
p 2 0 167 753 544 318
p 2 0 110 810 356 261
p 2 6 169 745 7202 477
p 2 0 132 788 522 291
p 2 0 99 821 318 246
p 2 5 173 742 7206 470
p 2 0 158 762 567 315
p 2 0 108 812 345 261
p 2 5 181 734 6421 468
p 2 0 136 784 487 288
p 2 0 110 810 346 258
p 2 2 207 711 6804 470
p 2 0 143 777 553 296
p 2 0 105 815 345 251
p 2 10 198 712 7350 508
p 2 0 161 759 525 309
p 2 0 84 836 306 236
p 2 3 163 754 7315 462
p 2 0 158 762 582 314
p 2 0 108 812 355 259
p 2 11 172 737 7142 506
p 2 0 144 776 538 297
p 2 0 85 835 300 237
p 2 6 160 754 6635 453
p 2 0 151 769 550 305
p 2 0 123 797 337 266
p 2 17 285 618 17596 794
p 2 0 321 599 1050 468
p 2 0 140 780 403 286
p 2 7 341 572 16608 778
p 2 0 291 629 1057 452
p 2 0 186 734 515 330
p 2 1 300 619 9873 600
p 2 0 210 710 769 366
p 2 0 155 765 461 299
p 2 7 335 578 13164 719
p 2 0 265 655 985 426
p 2 0 190 730 616 338
p 2 1 221 698 6219 478
p 2 0 178 742 645 330
p 2 0 167 753 512 313
p 2 3 223 694 5869 459
p 2 0 187 733 669 338
p 2 0 132 788 473 284
p 2 9 259 652 10298 607
p 2 0 180 740 681 336
p 2 0 106 814 362 254
p 2 5 264 651 9899 583
p 2 0 188 732 697 344
p 2 0 163 757 738 307
p 2 1 271 648 8370 539
p 2 0 178 742 1022 342
p 2 0 155 765 469 304
p 2 1 246 673 8846 524
p 2 0 210 710 863 370
p 2 0 144 776 453 289
p 2 1 148 771 2548 339
p 2 0 163 757 582 317
p 2 0 132 788 449 283
p 2 9 311 600 13196 778
p 2 0 248 672 854 400
p 2 0 182 738 555 325
p 2 2 287 631 11354 632
p 2 0 224 696 849 381
p 2 0 159 761 468 304
p 2 3 209 708 11021 569
p 2 0 193 727 741 349
p 2 0 153 767 462 304
p 2 15 253 652 14660 744
p 2 0 221 699 811 378
p 2 0 131 789 443 281
p 2 26 229 665 14374 757
p 2 0 225 695 769 378
p 2 0 135 785 412 284
p 2 0 188 732 4393 392
p 2 0 235 685 838 393
p 2 0 184 736 525 327
p 2 0 154 766 4226 356
p 2 0 169 751 546 317
p 2 0 117 803 372 264
p 2 0 152 768 775 309
p 2 0 127 793 411 271
p 2 0 80 840 286 230
p 2 0 100 820 518 257
p 2 0 126 794 417 274
p 2 0 118 802 393 266
p 2 0 82 838 782 240
p 2 0 95 825 331 243
p 2 0 95 825 335 244
p 2 0 88 832 567 241
p 2 0 62 858 260 212
p 2 0 74 846 259 219
p 2 0 80 840 664 236
p 2 0 78 842 307 230
p 2 0 78 842 295 226
p 2 1 93 826 459 253
p 2 0 84 836 298 233
p 2 0 93 827 305 241
p 2 0 117 803 835 272
p 2 0 75 845 280 223
p 2 0 86 834 280 231
p 2 0 73 847 545 231
p 2 0 43 877 234 196
p 2 0 39 881 216 190
p 2 0 80 840 639 234
p 2 0 62 858 259 212
p 2 0 73 847 263 220
p 2 1 65 854 396 229
p 2 0 58 862 245 209
p 2 0 49 871 235 200
p 2 0 70 850 719 228
p 2 0 61 859 241 207
p 2 0 44 876 229 197
p 2 0 33 887 198 184
p 2 0 28 892 198 182
p 2 0 45 875 220 197
p 2 0 52 868 238 207
p 2 0 54 866 234 207
p 2 0 54 866 222 202
p 2 0 41 879 220 193
p 2 0 25 895 196 182
p 2 0 46 874 217 197
p 2 0 27 893 195 182
p 2 0 51 869 229 205
p 2 0 50 870 233 202
p 2 0 40 880 216 195
p 2 0 32 888 202 186
i 2 920 0 0 9639 3068
