# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 77833 4797
p 2 0 397 523 849 544
p 2 0 381 539 900 528
p 2 0 344 576 832 486
p 2 0 279 641 749 422
p 2 0 218 702 569 366
p 2 0 100 820 442 253
p 2 0 182 738 506 325
p 2 0 226 694 723 369
p 2 0 187 733 537 329
p 2 0 204 716 690 347
p 2 0 247 673 664 389
p 2 0 160 760 583 305
p 2 0 177 743 490 318
p 2 0 232 688 781 380
p 2 0 224 696 600 365
p 2 0 146 774 551 292
p 2 0 141 779 433 286
p 2 0 192 728 672 334
p 2 0 207 713 591 351
p 2 0 121 799 543 270
p 2 0 163 757 454 305
p 2 0 183 737 670 329
p 2 0 178 742 519 323
p 2 0 147 773 631 295
p 2 0 181 739 508 326
p 2 0 204 716 736 349
p 2 0 138 782 445 286
p 2 0 158 762 642 300
p 2 0 95 825 365 243
p 2 0 98 822 520 243
p 2 0 102 818 324 249
p 2 0 130 790 595 277
p 2 0 154 766 468 298
p 2 0 156 764 674 302
p 2 0 135 785 426 284
p 2 0 163 757 676 304
p 2 0 118 802 371 267
p 2 0 192 728 773 337
p 2 0 136 784 418 281
p 2 0 114 806 644 267
p 2 0 111 809 360 259
p 2 0 169 751 780 317
p 2 0 137 783 393 279
p 2 0 109 811 640 257
p 2 0 110 810 369 259
p 2 0 153 767 747 301
p 2 0 89 831 311 237
p 2 0 136 784 742 285
p 2 0 101 819 396 252
p 2 0 68 852 628 222
p 2 0 94 826 338 240
p 2 0 89 831 687 239
p 2 0 104 816 398 252
p 2 0 121 799 762 269
p 2 0 125 795 382 273
p 2 0 84 836 727 235
p 2 0 91 829 338 245
p 2 0 158 762 882 307
p 2 0 110 810 355 258
p 2 0 68 852 787 226
p 2 0 86 834 338 237
p 2 0 128 792 980 281
p 2 0 103 817 354 251
p 2 0 76 844 921 232
p 2 0 90 830 336 242
p 2 0 150 770 1107 303
p 2 0 103 817 369 255
p 2 0 91 829 989 245
p 2 0 88 832 325 240
p 2 0 146 774 1112 302
p 2 0 109 811 372 257
p 2 0 101 819 1090 260
p 2 0 87 833 315 235
p 2 0 130 790 1181 287
p 2 0 103 817 362 255
p 2 0 80 840 1159 241
p 2 0 98 822 353 247
p 2 0 134 786 1369 293
p 2 0 89 831 344 240
p 2 0 99 821 1314 264
p 2 0 94 826 378 244
p 2 0 134 786 1437 300
p 2 0 90 830 368 243
p 2 0 76 844 1629 247
p 2 0 90 830 373 242
p 2 0 113 807 1735 286
p 2 0 96 824 387 250
p 2 0 78 842 1924 256
p 2 0 85 835 383 236
p 2 0 95 825 2139 272
p 2 0 91 829 373 243
p 2 0 85 835 2523 270
p 2 0 85 835 401 241
p 2 0 107 813 2961 301
p 2 0 72 848 371 228
p 2 1 125 794 3624 335
p 2 0 99 821 439 256
p 2 1 138 781 4379 369
p 2 0 88 832 425 248
p 2 0 92 828 5241 345
p 2 0 98 822 501 260
i 2 920 0 0 28439 3750
p 2 0 522 398 968 666
p 2 0 416 504 800 554
p 2 0 375 545 776 512
p 2 0 307 613 738 458
p 2 0 296 624 738 444
p 2 0 283 637 752 429
p 2 0 284 636 711 438
p 2 0 285 635 748 436
p 2 0 240 680 697 396
p 2 0 201 719 665 366
p 2 0 219 701 716 383
p 2 0 241 679 732 399
p 2 0 244 676 700 404
p 2 0 208 712 676 373
p 2 0 207 713 656 370
p 2 0 189 731 657 357
p 2 0 226 694 699 387
p 2 0 217 703 694 380
p 2 0 276 644 748 432
p 2 0 197 723 651 358
p 2 0 225 695 703 388
p 2 0 234 686 748 394
p 2 0 223 697 725 392
p 2 0 224 696 694 378
p 2 0 194 726 648 361
p 2 0 166 754 643 333
p 2 0 226 694 734 389
p 2 0 210 710 702 366
p 2 0 221 699 693 386
p 2 0 205 715 671 361
p 2 0 219 701 716 381
p 2 0 195 725 684 360
p 2 0 286 634 3373 504
p 2 0 234 686 877 398
p 2 0 235 685 772 400
p 2 10 235 675 3139 535
p 2 0 273 647 851 430
p 2 0 208 712 745 375
p 2 17 255 648 4668 578
p 2 0 232 688 816 389
p 2 0 244 676 759 409
p 2 0 284 636 3702 511
p 2 0 264 656 918 432
p 2 0 204 716 706 356
p 2 0 225 695 792 396
p 2 0 168 752 693 334
p 2 0 265 655 851 426
p 2 0 202 718 760 361
p 2 0 223 697 734 383
p 2 0 191 729 716 355
p 2 0 216 704 743 384
p 2 0 200 720 745 363
p 2 0 234 686 755 396
p 2 0 216 704 751 382
p 2 0 233 687 774 397
p 2 0 165 755 712 341
p 2 0 208 712 796 380
p 2 0 188 732 802 357
p 2 0 245 675 821 409
p 2 0 215 705 823 383
p 2 0 194 726 768 366
p 2 0 163 757 725 338
p 2 0 216 704 812 379
p 2 0 197 723 790 365
p 2 0 228 692 846 406
p 2 0 225 695 816 390
p 2 0 193 727 755 354
p 2 0 165 755 717 336
p 2 0 200 720 774 374
p 2 0 196 724 789 368
p 2 0 228 692 788 396
p 2 0 196 724 814 368
p 2 0 213 707 791 387
p 2 0 183 737 738 350
